timestamp, utilization.gpu [%], memory.used [MiB], memory.free [MiB], temperature.gpu
2026/03/14 18:30:10.819, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:30:10.819, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:30:10.819, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:31:10.819, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:31:10.820, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:31:10.821, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:31:10.821, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:31:10.822, [N/A], 58 MiB, 95262 MiB, 21
2026/03/14 18:31:10.823, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:31:10.823, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:31:10.823, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:32:10.823, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:32:10.824, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:32:10.825, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 18:32:10.825, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:32:10.826, [N/A], 58 MiB, 95262 MiB, 21
2026/03/14 18:32:10.827, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:32:10.827, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:32:10.827, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:33:10.827, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:33:10.828, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:33:10.829, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 18:33:10.829, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:33:10.830, [N/A], 58 MiB, 95262 MiB, 21
2026/03/14 18:33:10.831, 0 %, 0 MiB, 95320 MiB, 21
2026/03/14 18:33:10.831, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:33:10.831, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:34:10.831, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:34:10.832, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:34:10.833, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 18:34:10.833, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:34:10.834, [N/A], 58 MiB, 95262 MiB, 21
