timestamp, utilization.gpu [%], memory.used [MiB], memory.free [MiB], temperature.gpu
2026/03/19 22:57:03.075, [N/A], 93 MiB, 80987 MiB, 27
2026/03/19 22:57:03.076, [N/A], 68 MiB, 95252 MiB, 30
2026/03/19 22:57:03.077, 98 %, 2025 MiB, 93295 MiB, 67
2026/03/19 22:57:03.077, 0 %, 4 MiB, 95317 MiB, 28
2026/03/19 22:57:03.077, 100 %, 61783 MiB, 33538 MiB, 61
2026/03/19 22:58:03.077, [N/A], 27305 MiB, 68016 MiB, 35
2026/03/19 22:58:03.078, [N/A], 93 MiB, 95227 MiB, 31
2026/03/19 22:58:03.078, [N/A], 93 MiB, 80987 MiB, 28
2026/03/19 22:58:03.079, [N/A], 93 MiB, 80987 MiB, 26
2026/03/19 22:58:03.079, [N/A], 68 MiB, 95252 MiB, 30
2026/03/19 22:58:03.080, 98 %, 2025 MiB, 93295 MiB, 67
2026/03/19 22:58:03.080, 0 %, 4 MiB, 95317 MiB, 28
2026/03/19 22:58:03.080, 99 %, 61783 MiB, 33538 MiB, 60
2026/03/19 22:59:03.080, [N/A], 27305 MiB, 68016 MiB, 34
2026/03/19 22:59:03.081, [N/A], 93 MiB, 95227 MiB, 31
2026/03/19 22:59:03.081, [N/A], 93 MiB, 80987 MiB, 27
2026/03/19 22:59:03.082, [N/A], 93 MiB, 80987 MiB, 26
2026/03/19 22:59:03.082, [N/A], 68 MiB, 95252 MiB, 29
2026/03/19 22:59:03.083, 94 %, 2025 MiB, 93295 MiB, 67
2026/03/19 22:59:03.083, 0 %, 4 MiB, 95317 MiB, 27
2026/03/19 22:59:03.083, 100 %, 61783 MiB, 33538 MiB, 60
2026/03/19 23:00:03.084, [N/A], 27305 MiB, 68016 MiB, 34
2026/03/19 23:00:03.085, [N/A], 93 MiB, 95227 MiB, 31
2026/03/19 23:00:03.085, [N/A], 93 MiB, 80987 MiB, 27
2026/03/19 23:00:03.086, [N/A], 93 MiB, 80987 MiB, 26
2026/03/19 23:00:03.152, [N/A], 68 MiB, 95252 MiB, 29
2026/03/19 23:00:03.222, 98 %, 2025 MiB, 93295 MiB, 66
2026/03/19 23:00:03.290, 0 %, 4 MiB, 95317 MiB, 27
2026/03/19 23:00:03.361, 95 %, 61783 MiB, 33538 MiB, 60
2026/03/19 23:01:03.430, [N/A], 27305 MiB, 68016 MiB, 35
2026/03/19 23:01:03.431, [N/A], 93 MiB, 95227 MiB, 31
2026/03/19 23:01:03.431, [N/A], 93 MiB, 80987 MiB, 28
2026/03/19 23:01:03.432, [N/A], 93 MiB, 80987 MiB, 26
2026/03/19 23:01:03.432, [N/A], 68 MiB, 95252 MiB, 30
2026/03/19 23:01:03.433, 94 %, 2025 MiB, 93295 MiB, 66
2026/03/19 23:01:03.433, 0 %, 4 MiB, 95317 MiB, 28
2026/03/19 23:01:03.433, 100 %, 61783 MiB, 33538 MiB, 60
2026/03/19 23:02:03.433, [N/A], 27305 MiB, 68016 MiB, 35
2026/03/19 23:02:03.434, [N/A], 93 MiB, 95227 MiB, 32
2026/03/19 23:02:03.434, [N/A], 93 MiB, 80987 MiB, 28
2026/03/19 23:02:03.435, [N/A], 93 MiB, 80987 MiB, 27
