timestamp, utilization.gpu [%], memory.used [MiB], memory.free [MiB], temperature.gpu
2026/03/20 02:07:37.319, [N/A], 27305 MiB, 68016 MiB, 35
2026/03/20 02:07:37.320, [N/A], 93 MiB, 95227 MiB, 31
2026/03/20 02:07:37.320, [N/A], 93 MiB, 80987 MiB, 28
2026/03/20 02:07:37.321, [N/A], 93 MiB, 80987 MiB, 27
2026/03/20 02:07:37.322, [N/A], 68 MiB, 95252 MiB, 30
2026/03/20 02:07:37.322, 0 %, 2025 MiB, 93295 MiB, 61
2026/03/20 02:07:37.322, 0 %, 4 MiB, 95317 MiB, 28
2026/03/20 02:07:37.322, 95 %, 13015 MiB, 82305 MiB, 64
2026/03/20 02:08:37.323, [N/A], 27305 MiB, 68016 MiB, 35
2026/03/20 02:08:37.324, [N/A], 93 MiB, 95227 MiB, 32
2026/03/20 02:08:37.324, [N/A], 93 MiB, 80987 MiB, 28
2026/03/20 02:08:37.325, [N/A], 93 MiB, 80987 MiB, 27
2026/03/20 02:08:37.326, [N/A], 68 MiB, 95252 MiB, 30
2026/03/20 02:08:37.326, 94 %, 2025 MiB, 93295 MiB, 67
2026/03/20 02:08:37.326, 0 %, 4 MiB, 95317 MiB, 28
2026/03/20 02:08:37.326, 95 %, 13015 MiB, 82305 MiB, 64
2026/03/20 02:09:37.327, [N/A], 27305 MiB, 68016 MiB, 34
2026/03/20 02:09:37.327, [N/A], 93 MiB, 95227 MiB, 31
2026/03/20 02:09:37.328, [N/A], 93 MiB, 80987 MiB, 28
2026/03/20 02:09:37.329, [N/A], 93 MiB, 80987 MiB, 26
2026/03/20 02:09:37.329, [N/A], 68 MiB, 95252 MiB, 30
2026/03/20 02:09:37.330, 98 %, 2025 MiB, 93295 MiB, 66
2026/03/20 02:09:37.330, 0 %, 4 MiB, 95317 MiB, 28
2026/03/20 02:09:37.330, 95 %, 13015 MiB, 82305 MiB, 64
2026/03/20 02:10:37.330, [N/A], 27305 MiB, 68016 MiB, 33
2026/03/20 02:10:37.331, [N/A], 93 MiB, 95227 MiB, 30
2026/03/20 02:10:37.332, [N/A], 93 MiB, 80987 MiB, 27
2026/03/20 02:10:37.332, [N/A], 93 MiB, 80987 MiB, 25
2026/03/20 02:10:37.333, [N/A], 68 MiB, 95252 MiB, 29
2026/03/20 02:10:37.333, 98 %, 2025 MiB, 93295 MiB, 66
2026/03/20 02:10:37.333, 0 %, 4 MiB, 95317 MiB, 27
2026/03/20 02:10:37.333, 96 %, 13015 MiB, 82305 MiB, 63
2026/03/20 02:11:37.334, [N/A], 27305 MiB, 68016 MiB, 33
2026/03/20 02:11:37.335, [N/A], 93 MiB, 95227 MiB, 30
2026/03/20 02:11:37.335, [N/A], 93 MiB, 80987 MiB, 26
2026/03/20 02:11:37.336, [N/A], 93 MiB, 80987 MiB, 25
2026/03/20 02:11:37.337, [N/A], 68 MiB, 95252 MiB, 29
2026/03/20 02:11:37.337, 4 %, 2025 MiB, 93295 MiB, 63
2026/03/20 02:11:37.337, 0 %, 4 MiB, 95317 MiB, 26
2026/03/20 02:11:37.337, 96 %, 13015 MiB, 82305 MiB, 63
2026/03/20 02:12:37.338, [N/A], 27305 MiB, 68016 MiB, 34
2026/03/20 02:12:37.338, [N/A], 93 MiB, 95227 MiB, 30
2026/03/20 02:12:37.339, [N/A], 93 MiB, 80987 MiB, 27
2026/03/20 02:12:37.340, [N/A], 93 MiB, 80987 MiB, 26
2026/03/20 02:12:37.340, [N/A], 68 MiB, 95252 MiB, 29
2026/03/20 02:12:37.341, 98 %, 2025 MiB, 93295 MiB, 66
2026/03/20 02:12:37.341, 0 %, 4 MiB, 95317 MiB, 27
2026/03/20 02:12:37.341, 92 %, 13015 MiB, 82305 MiB, 63
2026/03/20 02:13:37.342, [N/A], 27305 MiB, 68016 MiB, 34
2026/03/20 02:13:37.342, [N/A], 93 MiB, 95227 MiB, 31
2026/03/20 02:13:37.343, [N/A], 93 MiB, 80987 MiB, 28
2026/03/20 02:13:37.343, [N/A], 93 MiB, 80987 MiB, 26
2026/03/20 02:13:37.344, [N/A], 68 MiB, 95252 MiB, 30
2026/03/20 02:13:37.344, 96 %, 2025 MiB, 93295 MiB, 61
2026/03/20 02:13:37.344, 0 %, 4 MiB, 95317 MiB, 28
2026/03/20 02:13:37.344, 95 %, 13015 MiB, 82305 MiB, 63
2026/03/20 02:14:37.345, [N/A], 27305 MiB, 68016 MiB, 34
2026/03/20 02:14:37.346, [N/A], 93 MiB, 95227 MiB, 31
2026/03/20 02:14:37.346, [N/A], 93 MiB, 80987 MiB, 28
2026/03/20 02:14:37.347, [N/A], 93 MiB, 80987 MiB, 26
2026/03/20 02:14:37.347, [N/A], 68 MiB, 95252 MiB, 30
